 frequency       db(vout)        180*cph(vout)/pi
 1.77827941e+05  3.36607411e+01 -8.77698641e+01 
 1.99526231e+05  3.26630447e+01 -8.81830743e+01 
 2.23872114e+05  3.16648299e+01 -8.85723743e+01 
 2.51188643e+05  3.06661911e+01 -8.89428697e+01 
 2.81838293e+05  2.96672005e+01 -8.92994334e+01 
 3.16227766e+05  2.86679116e+01 -8.96467649e+01 
 3.54813389e+05  2.76683622e+01 -8.99894487e+01 
 3.98107171e+05  2.66685761e+01 -9.03320127e+01 
 4.46683592e+05  2.56685647e+01 -9.06789854e+01 
 5.01187234e+05  2.46683274e+01 -9.10349542e+01 
 5.62341325e+05  2.36678517e+01 -9.14046242e+01 
 6.30957344e+05  2.26671123e+01 -9.17928785e+01 
 7.07945784e+05  2.16660700e+01 -9.22048404e+01 
 7.94328235e+05  2.06646696e+01 -9.26459377e+01 
 8.91250938e+05  1.96628371e+01 -9.31219704e+01 
 1.00000000e+06  1.86604755e+01 -9.36391810e+01 
 1.12201845e+06  1.76574602e+01 -9.42043288e+01 
 1.25892541e+06  1.66536327e+01 -9.48247671e+01 
 1.41253754e+06  1.56487921e+01 -9.55085235e+01 
 1.58489319e+06  1.46426853e+01 -9.62643824e+01 
 1.77827941e+06  1.36349945e+01 -9.71019679e+01 
 1.99526231e+06  1.26253221e+01 -9.80318240e+01 
 2.23872114e+06  1.16131713e+01 -9.90654896e+01 
 2.51188643e+06  1.05979242e+01 -1.00215560e+02 
 2.81838293e+06  9.57881472e+00 -1.01495730e+02 
 3.16227766e+06  8.55489670e+00 -1.02920803e+02 
 3.54813389e+06  7.52500826e+00 -1.04506653e+02 
 3.98107171e+06  6.48773158e+00 -1.06270125e+02 
 4.46683592e+06  5.44135067e+00 -1.08228836e+02 
 5.01187234e+06  4.38380974e+00 -1.10400861e+02 
 5.62341325e+06  3.31267742e+00 -1.12804275e+02 
 6.30957344e+06  2.22512435e+00 -1.15456512e+02 
 7.07945784e+06  1.11792512e+00 -1.18373533e+02 
 7.94328235e+06 -1.25019831e-02 -1.21568809e+02 
 8.91250938e+06 -1.17000142e+00 -1.25052156e+02 
 1.00000000e+07 -2.35851828e+00 -1.28828511e+02 
 1.12201845e+07 -3.58185744e+00 -1.32896807e+02 
 1.25892541e+07 -4.84336511e+00 -1.37249124e+02 
 1.41253754e+07 -6.14555044e+00 -1.41870337e+02 
 1.58489319e+07 -7.48968507e+00 -1.46738421e+02 
 1.77827941e+07 -8.87543547e+00 -1.51825453e+02 
 1.99526231e+07 -1.03005909e+01 -1.57099202e+02 
 2.23872114e+07 -1.17609423e+01 -1.62524998e+02 
 2.51188643e+07 -1.32503452e+01 -1.68067492e+02 
 2.81838293e+07 -1.47609708e+01 -1.73691927e+02 
 3.16227766e+07 -1.62837204e+01 -1.79364681e+02 
 3.54813389e+07 -1.78087590e+01 -1.85053091e+02 
 3.98107171e+07 -1.93261165e+01 -1.90724782e+02 
 4.46683592e+07 -2.08263010e+01 -1.96346904e+02 
 5.01187234e+07 -2.23008694e+01 -2.01885695e+02 
 5.62341325e+07 -2.37429027e+01 -2.07306697e+02 
 6.30957344e+07 -2.51473345e+01 -2.12575722e+02 
 7.07945784e+07 -2.65111016e+01 -2.17660451e+02 
 7.94328235e+07 -2.78331044e+01 -2.22532317e+02 
 8.91250938e+07 -2.91139989e+01 -2.27168283e+02 
 1.00000000e+08 -3.03558673e+01 -2.31552149e+02 
 1.12201845e+08 -3.15618287e+01 -2.35675200e+02 
 1.25892541e+08 -3.27356500e+01 -2.39536151e+02 
 1.41253754e+08 -3.38814041e+01 -2.43140523e+02 
 1.58489319e+08 -3.50032008e+01 -2.46499641e+02 
 1.77827941e+08 -3.61050007e+01 -2.49629451e+02 
 1.99526231e+08 -3.71905047e+01 -2.52549342e+02 
 2.23872114e+08 -3.82631076e+01 -2.55281055e+02 
 2.51188643e+08 -3.93258993e+01 -2.57847772e+02 
 2.81838293e+08 -4.03817002e+01 -2.60273360e+02 
 3.16227766e+08 -4.14331180e+01 -2.62581780e+02 
 3.54813389e+08 -4.24826178e+01 -2.64796606e+02 
 3.98107171e+08 -4.35325968e+01 -2.66940608e+02 
 4.46683592e+08 -4.45854603e+01 -2.69035357e+02 
 5.01187234e+08 -4.56436914e+01 -2.71100792e+02 
 5.62341325e+08 -4.67099081e+01 -2.73154708e+02 
 6.30957344e+08 -4.77869008e+01 -2.75212135e+02 
 7.07945784e+08 -4.88776369e+01 -2.77284595e+02 
 7.94328235e+08 -4.99852223e+01 -2.79379257e+02 
 8.91250938e+08 -5.11128037e+01 -2.81498061e+02 
 1.00000000e+09 -5.22634017e+01 -2.83636912e+02 
 1.12201845e+09 -5.34396677e+01 -2.85785154e+02 
 1.25892541e+09 -5.46435712e+01 -2.87925517e+02 
 1.41253754e+09 -5.58760396e+01 -2.90034805e+02 
 1.58489319e+09 -5.71365969e+01 -2.92085499e+02 
 1.77827941e+09 -5.84230609e+01 -2.94048350e+02 
 1.99526231e+09 -5.97313703e+01 -2.95895787e+02 
 2.23872114e+09 -6.10556014e+01 -2.97605780e+02 
 2.51188643e+09 -6.23882034e+01 -2.99165546e+02 
 2.81838293e+09 -6.37204376e+01 -3.00574444e+02 
 3.16227766e+09 -6.50429589e+01 -3.01845479e+02 
 3.54813389e+09 -6.63464444e+01 -3.03005064e+02 
